Country Name,MeanBMI_BothSexes,Continent,Sex
Venezuela,27.2,South America,Mixed
Yemen,25.8,Middle East,Mixed
Zambia,22.6,Africa,Mixed
Zimbabwe,23.4,Africa,Mixed
Afghanistan,21.8,Middle East,Female
Albania,25.6,Europe,Female
Algeria,27,Middle East,Female
Angola,24.6,Africa,Female
Antigua and Barbuda,29.5,Carribbean,Female
Argentina,27.5,South America,Female
Armenia,27.4,Asia,Female
Australia,26.8,Oceania,Female
Austria,24.4,Europe,Female
Azerbaijan,28.1,Asia,Female
Bahrain,28.6,Middle East,Female
Bangladesh,21.2,Asia,Female
Barbados,30,Carribbean,Female
Belarus,26.2,Europe,Female
Belgium,24.7,Europe,Female
Belize,30.2,Central America,Female
Benin,24.3,Africa,Female
Bhutan,24.2,Asia,Female
Bolivia,27.3,South America,Female
Bosnia and Herzegovina,25.7,Europe,Female
Botswana,26.6,Africa,Female
Brazil,26,South America,Female
Bulgaria,25.3,Europe,Female
Burkina Faso,22,Africa,Female
Burundi,21.3,Africa,Female
Cambodia,22,Asia,Female
Cameroon,25.1,Africa,Female
Canada,26.8,North America,Female
Central African Republic,23.2,Africa,Female
Chad,22.5,Africa,Female
Chile,28,South America,Female
China,23.6,Asia,Female
Colombia,26.5,South America,Female
Comoros,25.1,Africa,Female
Congo,24.1,Africa,Female
Congo-Brazzaville,26.7,Asia,Female
Costa Rica,27.1,Central America,Female
Croatia,24.6,Europe,Female
Cuba,26.7,Carribbean,Female
Cyprus,26.3,Middle East,Female
Czech Republic,26,Europe,Female
Denmark,24.5,Europe,Female
Djibouti,23.9,Africa,Female
Dominica,29,Carribbean,Female
Dominican Republic,27.4,Carribbean,Female
Ecuador,27.7,South America,Female
Egypt,30.7,Middle East,Female
El Salvador,28,Central America,Female
Equatorial Guinea,26.1,Africa,Female
Eritrea,21,Africa,Female
Estonia,24.3,Europe,Female
Ethiopia,21,Africa,Female
Fiji,28.4,Oceania,Female
Finland,25.3,Europe,Female
France,24.6,Europe,Female
Gabon,26.4,Africa,Female
Gambia,25.1,Africa,Female
Georgia,27.3,Europe,Female
Germany,25.6,Europe,Female
Ghana,25.1,Africa,Female
Greece,27.2,Europe,Female
Grenada,28.7,Carribbean,Female
Guatemala,27.1,Central America,Female
Guinea,23.3,Africa,Female
Guinea-Bissau,23.9,Africa,Female
Guyana,27.6,South America,Female
Haiti,24,Carribbean,Female
Honduras,27.3,Central America,Female
Hungary,25.2,Europe,Female
Iceland,25.1,Europe,Female
India,22.1,Asia,Female
Indonesia,23.4,Asia,Female
Iran,27.2,Middle East,Female
Iraq,28.8,Middle East,Female
Ireland,27.1,Europe,Female
Israel,26.2,Middle East,Female
Italy,25.2,Europe,Female
Jamaica,29.2,Carribbean,Female
Japan,21.7,Asia,Female
Jordan,29.7,Middle East,Female
Kazakhstan,27.5,Asia,Female
Kenya,24,Africa,Female
Kiribati,30.5,Oceania,Female
Kuwait,30.8,Middle East,Female
Kyrgyzstan,26.8,Asia,Female
Latvia,25.1,Europe,Female
Lebanon,27.6,Middle East,Female
Lesotho,27.1,Africa,Female
Liberia,24.9,Africa,Female
Libya,29.6,Middle East,Female
Lithuania,26,Europe,Female
Luxembourg,25.5,Europe,Female
Madagascar,21.2,Africa,Female
Malawi,23.3,Africa,Female
Malaysia,25.6,Asia,Female
Maldives,25.9,Asia,Female
Mali,23,Africa,Female
Malta,26.8,Europe,Female
Mauritania,26.4,Africa,Female
Mauritius,26.2,Africa,Female
Mexico,28.7,Central America,Female
Mongolia,26.4,Asia,Female
Montenegro,25.5,Europe,Female
Morocco,25.9,Middle East,Female
Mozambique,23,Africa,Female
Myanmar,23.2,Asia,Female
Namibia,25.6,Africa,Female
Nepal,22,Asia,Female
Netherlands,25,Europe,Female
New Zealand,27.8,Oceania,Female
Nicaragua,27.8,Central America,Female
Niger,22.2,Africa,Female
Nigeria,24,Africa,Female
Norway,25.2,Europe,Female
Oman,27.1,Middle East,Female
Pakistan,24.4,Middle East,Female
Panama,27.7,Central America,Female
Papua New Guinea,25.6,Oceania,Female
Paraguay,26,South America,Female
Peru,26.9,South America,Female
Philippines,23.4,Asia,Female
Poland,25.7,Europe,Female
Portugal,25.7,Europe,Female
Qatar,30.1,Middle East,Female
Romania,24.9,Europe,Female
Russia,26.8,Europe,Female
