,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
Peru,Data source,All types,5.38,5.14,4.83
Philippines,Data source,All types,4.61,5.02,4.96
Poland,Data source,All types,11.63,10.81,10.93
Portugal,Data source,All types,10,11.96,11.92
Qatar,Data source,All types,1.2,1.13,1.16
Republic of Korea,Data source,All types,9.33,9.56,9.34
Republic of Moldova,Data source,All types,10.49,10.68,9.45
Romania,Data source,All types,9.59,9.58,9.1
Russian Federation,Data source,All types,10.58,10.99,11.04
Rwanda,Data source,All types,,,8.34
Saint Kitts and Nevis,Data source,All types,8.54,8.47,8.28
Saint Lucia,Data source,All types,9.73,9.99,10.43
Saint Vincent and the Grenadines,Data source,All types,7.07,6.93,7.02
Samoa,Data source,All types,,,2.15
San Marino,,All types,,,
San Marino,Data source,All types,,,
Sao Tome and Principe,Data source,All types,,,5.69
Saudi Arabia,Data source,All types,0.09,0.09,0.09
Senegal,Data source,All types,0.26,0.28,0.32
Serbia,Data source,All types,9.16,9.38,9.56
Seychelles,Data source,All types,,,9.72
Sierra Leone,Data source,All types,,,3.78
Singapore,Data source,All types,1.83,1.89,1.8
Slovakia,Data source,All types,9.89,10.12,10.24
Slovenia,Data source,All types,9.53,10.95,10.61
Solomon Islands,Data source,All types,,,0.99
Somalia,Data source,All types,,,0
South Africa,Data source,All types,7.34,7.38,7.38
Spain,Data source,All types,9.25,9.35,9.62
Sri Lanka,Data source,All types,2.56,2.8,3.03
Sudan,Data source,All types,,,2.12
Suriname,Data source,All types,6.02,5.73,5.64
Swaziland,Data source,All types,,,5.2
Sweden,Data source,All types,7.3,7.4,7.4
Switzerland,Data source,All types,9.73,9.86,9.99
Syrian Arab Republic,Data source,All types,,,0.76
Tajikistan,Data source,All types,,,0.32
Thailand,Data source,All types,6.5,6.56,6.07
The former Yugoslav republic of Macedonia,Data source,All types,1.03,1.23,1.16
Timor-Leste,Data source,All types,,,0.5
Togo,Data source,All types,,,1.44
Tonga,Data source,All types,,,0.96
Trinidad and Tobago,Data source,All types,6.71,6.7,6.5
Tunisia,Data source,All types,1.29,1.3,1.29
Turkey,Data source,All types,1.41,1.54,1.53
Turkmenistan,Data source,All types,2.93,2.75,2.55
Tuvalu,Data source,All types,,,1.34
Uganda,Data source,All types,,,10.22
Ukraine,Data source,All types,8.44,8.44,8.48
United Arab Emirates,Data source,All types,1.82,1.75,1.73
United Kingdom of Great Britain and Northern Ireland,Data source,All types,10.32,10.42,10.68
United Republic of Tanzania,Data source,All types,4.2,3.98,4.04
United States of America,Data source,All types,8.82,8.82,8.67
Uruguay,Data source,All types,5.82,5.77,5.97
Uzbekistan,Data source,All types,,,2.83
Vanuatu,Data source,All types,,,0.85
Venezuela (Bolivarian Republic of),Data source,All types,6.71,6.7,6.74
Viet Nam,Data source,All types,4,4.12,3.94
Yemen,Data source,All types,0.04,0.04,0.04
Zambia,Data source,All types,2.41,2.59,2.57
Zimbabwe,Data source,All types,6.39,6.09,6
