Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Timor-Leste,18+  years,Male,21.5 [19-24],21.5,19,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Viet Nam,18+  years,Male,21.5 [20.7-22.4],21.5,20.7,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Viet Nam,18+  years,Female,21.6 [20.7-22.5],21.6,20.7,22.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Somalia,18+  years,Both sexes,21.7 [19.8-23.8],21.7,19.8,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Niger,18+  years,Both sexes,21.7 [21.1-22.4],21.7,21.1,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Democratic People's Republic of Korea,18+  years,Female,21.8 [18.5-25],21.8,18.5,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Burkina Faso,18+  years,Both sexes,21.8 [21.4-22.2],21.8,21.4,22.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Democratic People's Republic of Korea,18+  years,Both sexes,21.8 [19.7-23.9],21.8,19.7,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Afghanistan,18+  years,Female,21.8 [18.6-25],21.8,18.6,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Democratic People's Republic of Korea,18+  years,Both sexes,21.8 [19.6-24],21.8,19.6,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Democratic People's Republic of Korea,18+  years,Male,21.9 [19.2-24.5],21.9,19.2,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Kenya,18+  years,Male,21.9 [20-23.8],21.9,20,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cambodia,18+  years,Both sexes,21.9 [21.3-22.5],21.9,21.3,22.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,United Republic of Tanzania,18+  years,Male,22 [21.4-22.6],22,21.4,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Uganda,18+  years,Both sexes,22 [21.4-22.6],22,21.4,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Myanmar,18+  years,Male,22.1 [21.1-23.1],22.1,21.1,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,India,18+  years,Female,22.1 [21.4-22.8],22.1,21.4,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Burkina Faso,18+  years,Both sexes,22.1 [21.5-22.6],22.1,21.5,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Congo,18+  years,Male,22.2 [20.7-23.7],22.2,20.7,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Myanmar,18+  years,Both sexes,22.3 [21.7-22.8],22.3,21.7,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zambia,18+  years,Both sexes,22.3 [21.6-23],22.3,21.6,23,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Malawi,18+  years,Male,22.3 [21.4-23.2],22.3,21.4,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Sierra Leone,18+  years,Both sexes,22.5 [22.1-23],22.5,22.1,23,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mali,18+  years,Male,22.6 [21.2-24],22.6,21.2,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Lao People's Democratic Republic,18+  years,Both sexes,22.6 [22-23.1],22.6,22,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Lesotho,18+  years,Male,22.7 [22-23.4],22.7,22,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Lao People's Democratic Republic,18+  years,Female,22.7 [22-23.5],22.7,22,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Namibia,18+  years,Male,22.9 [21.6-24.1],22.9,21.6,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Comoros,18+  years,Male,23 [22.2-23.9],23,22.2,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Kenya,18+  years,Both sexes,23 [21.9-24.1],23,21.9,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Angola,18+  years,Male,23.1 [20.7-25.6],23.1,20.7,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Benin,18+  years,Both sexes,23.1 [22.6-23.6],23.1,22.6,23.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Nigeria,18+  years,Both sexes,23.1 [22.6-23.5],23.1,22.6,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Central African Republic,18+  years,Female,23.2 [21.7-24.8],23.2,21.7,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Singapore,18+  years,Female,23.2 [22.5-23.9],23.2,22.5,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cote d'Ivoire,18+  years,Both sexes,23.4 [22.8-23.9],23.4,22.8,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Pakistan,18+  years,Both sexes,23.4 [22.9-23.9],23.4,22.9,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Republic of Korea,18+  years,Female,23.4 [22.7-24.1],23.4,22.7,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Benin,18+  years,Both sexes,23.4 [22.8-24],23.4,22.8,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Zimbabwe,18+  years,Both sexes,23.4 [22.8-24],23.4,22.8,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Angola,18+  years,Male,23.5 [21-26.1],23.5,21,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cameroon,18+  years,Male,23.6 [22.4-24.8],23.6,22.4,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cote d'Ivoire,18+  years,Both sexes,23.6 [22.9-24.3],23.6,22.9,24.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Haiti,18+  years,Male,23.8 [21.5-26.3],23.8,21.5,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Swaziland,18+  years,Male,23.8 [22.9-24.7],23.8,22.9,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Zambia,18+  years,Female,23.8 [22.8-24.8],23.8,22.8,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Bhutan,18+  years,Both sexes,23.8 [23.2-24.4],23.8,23.2,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Djibouti,18+  years,Female,23.9 [20.9-27],23.9,20.9,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea-Bissau,18+  years,Female,23.9 [22.7-25],23.9,22.7,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Congo,18+  years,Female,24.1 [23.2-25.1],24.1,23.2,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Senegal,18+  years,Female,24.1 [23.1-25],24.1,23.1,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Estonia,18+  years,Female,24.3 [22.8-25.8],24.3,22.8,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cabo Verde,18+  years,Both sexes,24.3 [23.6-25.1],24.3,23.6,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Republic of Korea,18+  years,Male,24.3 [23.7-24.9],24.3,23.7,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Comoros,18+  years,Female,24.6 [23.9-25.3],24.6,23.9,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Lesotho,18+  years,Both sexes,24.6 [24.2-25.1],24.6,24.2,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Thailand,18+  years,Female,24.6 [23.7-25.5],24.6,23.7,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Yemen,18+  years,Male,24.8 [22.5-27.2],24.8,22.5,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belgium,18+  years,Female,24.8 [23.4-26],24.8,23.4,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Sao Tome and Principe,18+  years,Both sexes,24.8 [24.1-25.4],24.8,24.1,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Mongolia,18+  years,Male,24.9 [24.5-25.4],24.9,24.5,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Romania,18+  years,Female,24.9 [23.5-26.3],24.9,23.5,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Lesotho,18+  years,Both sexes,24.9 [24.3-25.4],24.9,24.3,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Malaysia,18+  years,Male,25 [24.3-25.8],25,24.3,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritius,18+  years,Male,25 [24-25.9],25,24,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Tajikistan,18+  years,Male,25.1 [22.7-27.4],25.1,22.7,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Gabon,18+  years,Both sexes,25.1 [24.4-25.9],25.1,24.4,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Switzerland,18+  years,Both sexes,25.1 [24.5-25.8],25.1,24.5,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Dominica,18+  years,Male,25.1 [23.9-26.3],25.1,23.9,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cameroon,18+  years,Female,25.1 [24.3-25.8],25.1,24.3,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Honduras,18+  years,Male,25.2 [23.7-26.7],25.2,23.7,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Peru,18+  years,Male,25.2 [24.6-25.9],25.2,24.6,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Hungary,18+  years,Female,25.2 [23.2-27.2],25.2,23.2,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Italy,18+  years,Female,25.2 [24.5-26],25.2,24.5,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Croatia,18+  years,Both sexes,25.3 [24.4-26.3],25.3,24.4,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Finland,18+  years,Female,25.3 [24.7-25.9],25.3,24.7,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,The former Yugoslav republic of Macedonia,18+  years,Female,25.3 [23.5-27.1],25.3,23.5,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,South Africa,18+  years,Male,25.4 [24.7-25.9],25.4,24.7,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Jamaica,18+  years,Male,25.5 [24.5-26.6],25.5,24.5,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovakia,18+  years,Female,25.6 [24.7-26.5],25.6,24.7,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Vanuatu,18+  years,Male,25.6 [24.8-26.4],25.6,24.8,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Maldives,18+  years,Female,25.7 [25-26.3],25.7,25,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Bosnia and Herzegovina,18+  years,Female,25.7 [24.2-27.3],25.7,24.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,France,18+  years,Male,25.9 [25.2-26.6],25.9,25.2,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Morocco,18+  years,Female,25.9 [24.8-26.9],25.9,24.8,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Ecuador,18+  years,Male,26 [25.2-26.8],26,25.2,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Israel,18+  years,Male,26 [25.3-26.7],26,25.3,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Brunei Darussalam,18+  years,Both sexes,26 [24.2-28],26,24.2,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Lithuania,18+  years,Female,26 [24.3-27.5],26,24.3,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,The former Yugoslav republic of Macedonia,18+  years,Male,26.1 [23.8-28.4],26.1,23.8,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Guatemala,18+  years,Both sexes,26.1 [25.4-26.8],26.1,25.4,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Poland,18+  years,Both sexes,26.1 [25.6-26.7],26.1,25.6,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Colombia,18+  years,Female,26.2 [25.6-26.8],26.2,25.6,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Swaziland,18+  years,Both sexes,26.2 [25.4-26.9],26.2,25.4,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Vanuatu,18+  years,Both sexes,26.2 [25.7-26.8],26.2,25.7,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Sudan,18+  years,Female,26.3 [25.3-27.4],26.3,25.3,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovakia,18+  years,Both sexes,26.3 [25.7-26.9],26.3,25.7,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Uzbekistan,18+  years,Female,26.3 [24.8-27.7],26.3,24.8,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Germany,18+  years,Both sexes,26.3 [25.7-26.8],26.3,25.7,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Hungary,18+  years,Both sexes,26.3 [25.1-27.4],26.3,25.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Sweden,18+  years,Male,26.4 [25.7-27.1],26.4,25.7,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkmenistan,18+  years,Male,26.4 [25.5-27.2],26.4,25.5,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Gabon,18+  years,Female,26.4 [25.4-27.3],26.4,25.4,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkmenistan,18+  years,Both sexes,26.4 [25.8-27],26.4,25.8,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Brunei Darussalam,18+  years,Female,26.5 [23.5-29.5],26.5,23.5,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Costa Rica,18+  years,Both sexes,26.5 [26-27.1],26.5,26,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Bosnia and Herzegovina,18+  years,Male,26.5 [25.2-27.8],26.5,25.2,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Luxembourg,18+  years,Both sexes,26.5 [25.8-27.3],26.5,25.8,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Russian Federation,18+  years,Both sexes,26.5 [25.8-27.1],26.5,25.8,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Australia,18+  years,Female,26.6 [26.2-27],26.6,26.2,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Canada,18+  years,Female,26.6 [26-27.1],26.6,26,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Albania,18+  years,Male,26.6 [25.6-27.5],26.6,25.6,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Turkey,18+  years,Male,26.7 [26.2-27.1],26.7,26.2,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Bulgaria,18+  years,Male,26.7 [25.5-28],26.7,25.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Germany,18+  years,Male,26.8 [26.2-27.3],26.8,26.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Libya,18+  years,Male,26.8 [26-27.6],26.8,26,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Syrian Arab Republic,18+  years,Male,26.8 [25.8-27.9],26.8,25.8,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Malta,18+  years,Female,26.8 [24.8-28.8],26.8,24.8,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Oman,18+  years,Female,26.8 [25.6-27.9],26.8,25.6,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Oman,18+  years,Male,26.8 [25.6-28],26.8,25.6,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Australia,18+  years,Female,26.8 [26.2-27.4],26.8,26.2,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Tunisia,18+  years,Both sexes,26.8 [25.9-27.7],26.8,25.9,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,South Africa,18+  years,Both sexes,26.9 [26.7-27.2],26.9,26.7,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Norway,18+  years,Male,26.9 [25.8-28],26.9,25.8,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovenia,18+  years,Both sexes,26.9 [24.8-28.9],26.9,24.8,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Lithuania,18+  years,Male,27 [25.9-28],27,25.9,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Germany,18+  years,Male,27 [26.2-27.8],27,26.2,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Malta,18+  years,Both sexes,27.1 [25.8-28.3],27.1,25.8,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guatemala,18+  years,Female,27.1 [26.1-28.1],27.1,26.1,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Ireland,18+  years,Female,27.1 [26.3-27.8],27.1,26.3,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Mexico,18+  years,Male,27.2 [26.8-27.6],27.2,26.8,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Spain,18+  years,Male,27.2 [26.7-27.7],27.2,26.7,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Libya,18+  years,Male,27.2 [26.2-28.2],27.2,26.2,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Georgia,18+  years,Both sexes,27.2 [26.5-27.9],27.2,26.5,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Malta,18+  years,Male,27.3 [25.7-28.9],27.3,25.7,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Ecuador,18+  years,Female,27.3 [26.5-28.1],27.3,26.5,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Georgia,18+  years,Female,27.3 [26.2-28.3],27.3,26.2,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Greece,18+  years,Both sexes,27.3 [26.3-28.2],27.3,26.3,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Canada,18+  years,Male,27.4 [26.9-27.9],27.4,26.9,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Spain,18+  years,Male,27.4 [26.6-28.2],27.4,26.6,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Armenia,18+  years,Female,27.4 [26.1-28.8],27.4,26.1,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Bahrain,18+  years,Male,27.5 [26.5-28.6],27.5,26.5,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Ireland,18+  years,Both sexes,27.5 [26.9-28.1],27.5,26.9,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Azerbaijan,18+  years,Female,27.6 [26.5-28.6],27.6,26.5,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Chile,18+  years,Male,27.6 [26.7-28.5],27.6,26.7,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,New Zealand,18+  years,Male,27.7 [27.3-28.1],27.7,27.3,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Seychelles,18+  years,Female,27.7 [27-28.4],27.7,27,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Suriname,18+  years,Female,27.7 [24.8-30.6],27.7,24.8,30.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Bahrain,18+  years,Both sexes,27.8 [27-28.7],27.8,27,28.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Andorra,18+  years,Male,27.8 [25.4-30.3],27.8,25.4,30.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Libya,18+  years,Both sexes,28 [27.4-28.5],28,27.4,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Iraq,18+  years,Both sexes,28 [27.2-28.8],28,27.2,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Turkey,18+  years,Female,28.2 [27.8-28.7],28.2,27.8,28.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Qatar,18+  years,Male,28.3 [27.7-28.9],28.3,27.7,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Bahrain,18+  years,Female,28.3 [27.1-29.6],28.3,27.1,29.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Belize,18+  years,Both sexes,28.4 [27.7-29.1],28.4,27.7,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,United States of America,18+  years,Female,28.5 [28.1-28.9],28.5,28.1,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,United States of America,18+  years,Both sexes,28.5 [28.2-28.8],28.5,28.2,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkey,18+  years,Female,28.5 [27.9-29.2],28.5,27.9,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Qatar,18+  years,Both sexes,28.6 [28.1-29.2],28.6,28.1,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,United Arab Emirates,18+  years,Both sexes,28.6 [27.8-29.4],28.6,27.8,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,United States of America,18+  years,Both sexes,28.8 [28.4-29.2],28.8,28.4,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Kuwait,18+  years,Male,29 [28.1-29.8],29,28.1,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Dominica,18+  years,Female,29 [27.7-30.3],29,27.7,30.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Palau,18+  years,Male,29.2 [28.3-30.2],29.2,28.3,30.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Micronesia (Federated States of),18+  years,Both sexes,29.2 [28.6-29.7],29.2,28.6,29.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Palau,18+  years,Both sexes,29.4 [28.7-30.2],29.4,28.7,30.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Jordan,18+  years,Female,29.5 [29-29.9],29.5,29,29.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,United Arab Emirates,18+  years,Female,29.5 [28.3-30.7],29.5,28.3,30.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Kitts and Nevis,18+  years,Both sexes,29.7 [28.5-30.7],29.7,28.5,30.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Qatar,18+  years,Female,30.1 [29.3-31],30.1,29.3,31,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Egypt,18+  years,Female,30.2 [29.7-30.7],30.2,29.7,30.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Lucia,18+  years,Female,30.2 [29.1-31.3],30.2,29.1,31.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Egypt,18+  years,Female,30.7 [30-31.5],30.7,30,31.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Niue,18+  years,Male,31.4 [30.6-32.2],31.4,30.6,32.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Cook Islands,18+  years,Male,31.7 [30.6-32.8],31.7,30.6,32.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Nauru,18+  years,Male,32.2 [31.4-33.1],32.2,31.4,33.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cook Islands,18+  years,Both sexes,32.3 [31.4-33.2],32.3,31.4,33.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Niue,18+  years,Both sexes,32.3 [31.6-32.9],32.3,31.6,32.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Niue,18+  years,Female,32.9 [32-33.7],32.9,32,33.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Nauru,18+  years,Female,33 [32-34],33,32,34,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Eritrea,18+  years,Male,20.1 [19.2-20.9],20.1,19.2,20.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Eritrea,18+  years,Both sexes,20.5 [19.9-21.1],20.5,19.9,21.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Bangladesh,18+  years,Male,20.7 [19.9-21.6],20.7,19.9,21.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Burundi,18+  years,Female,21 [20-22],21,20,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Niger,18+  years,Male,21.1 [20.2-21.9],21.1,20.2,21.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Afghanistan,18+  years,Both sexes,21.2 [19.3-23.1],21.2,19.3,23.1,
