Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Maldives,18+  years,Male,23.9 [23-24.7],23.9,23,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Angola,18+  years,Both sexes,24.1 [22-26.2],24.1,22,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Haiti,18+  years,Both sexes,24.1 [22.7-25.5],24.1,22.7,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Austria,18+  years,Female,24.3 [22.2-26.4],24.3,22.2,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Estonia,18+  years,Female,24.3 [22.4-26],24.3,22.4,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Namibia,18+  years,Both sexes,24.3 [23.5-25.1],24.3,23.5,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Pakistan,18+  years,Female,24.4 [23.7-25.1],24.4,23.7,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Guyana,18+  years,Male,24.6 [23.7-25.5],24.6,23.7,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Croatia,18+  years,Female,24.6 [22.7-26.4],24.6,22.7,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Botswana,18+  years,Both sexes,24.7 [23.9-25.5],24.7,23.9,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cabo Verde,18+  years,Both sexes,24.7 [23.9-25.5],24.7,23.9,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Morocco,18+  years,Male,24.8 [23.8-25.9],24.8,23.8,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Tajikistan,18+  years,Female,24.8 [23.9-25.8],24.8,23.9,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritania,18+  years,Both sexes,24.8 [23.7-26],24.8,23.7,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Liberia,18+  years,Female,24.9 [24.2-25.6],24.9,24.2,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Iran (Islamic Republic of),18+  years,Male,25 [24.7-25.4],25,24.7,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Malaysia,18+  years,Both sexes,25 [24.6-25.4],25,24.6,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Papua New Guinea,18+  years,Male,25 [23.9-26.1],25,23.9,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Netherlands,18+  years,Female,25 [23.9-26],25,23.9,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Gambia,18+  years,Female,25.1 [24.1-26.1],25.1,24.1,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Iceland,18+  years,Female,25.1 [23.2-27],25.1,23.2,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Italy,18+  years,Female,25.2 [24.7-25.7],25.2,24.7,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Grenada,18+  years,Male,25.2 [24.3-26.2],25.2,24.3,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Morocco,18+  years,Male,25.2 [23.9-26.6],25.2,23.9,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Netherlands,18+  years,Both sexes,25.3 [24.8-25.8],25.3,24.8,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Malaysia,18+  years,Both sexes,25.3 [24.8-25.9],25.3,24.8,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Bolivia (Plurinational State of),18+  years,Both sexes,25.5 [24.7-26.3],25.5,24.7,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Luxembourg,18+  years,Female,25.5 [24.3-26.6],25.5,24.3,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Guatemala,18+  years,Male,25.6 [24.3-26.8],25.6,24.3,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Uzbekistan,18+  years,Both sexes,25.6 [24.9-26.3],25.6,24.9,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Brazil,18+  years,Female,25.7 [25.2-26.2],25.7,25.2,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Latvia,18+  years,Both sexes,25.7 [24.6-26.7],25.7,24.6,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Mongolia,18+  years,Female,25.8 [25.3-26.4],25.8,25.3,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Ukraine,18+  years,Female,25.8 [24-27.5],25.8,24,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Yemen,18+  years,Both sexes,25.8 [23.7-27.8],25.8,23.7,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Albania,18+  years,Both sexes,25.9 [25.3-26.5],25.9,25.3,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Algeria,18+  years,Both sexes,25.9 [24.8-27],25.9,24.8,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Brazil,18+  years,Male,25.9 [25.2-26.6],25.9,25.2,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Colombia,18+  years,Both sexes,25.9 [25.4-26.5],25.9,25.4,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritania,18+  years,Female,26 [24.9-27.2],26,24.9,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Brazil,18+  years,Female,26 [25.3-26.8],26,25.3,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Bulgaria,18+  years,Both sexes,26 [25.1-27],26,25.1,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Italy,18+  years,Both sexes,26 [25.5-26.5],26,25.5,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Montenegro,18+  years,Both sexes,26 [23.9-27.9],26,23.9,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Germany,18+  years,Both sexes,26.1 [25.7-26.6],26.1,25.7,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Russian Federation,18+  years,Male,26.1 [25.2-27.1],26.1,25.2,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Equatorial Guinea,18+  years,Female,26.1 [22.7-29.4],26.1,22.7,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belarus,18+  years,Female,26.2 [23.1-29.1],26.2,23.1,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Dominican Republic,18+  years,Both sexes,26.2 [25.4-27],26.2,25.4,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Hungary,18+  years,Both sexes,26.2 [25.2-27.3],26.2,25.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Russian Federation,18+  years,Both sexes,26.2 [25.8-26.7],26.2,25.8,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Algeria,18+  years,Both sexes,26.2 [25.1-27.5],26.2,25.1,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Brunei Darussalam,18+  years,Both sexes,26.2 [24.1-28.3],26.2,24.1,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Cuba,18+  years,Female,26.3 [25.1-27.5],26.3,25.1,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Solomon Islands,18+  years,Female,26.3 [25.3-27.2],26.3,25.3,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Cyprus,18+  years,Female,26.3 [24.8-27.9],26.3,24.8,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Bulgaria,18+  years,Male,26.4 [25.5-27.4],26.4,25.5,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Kyrgyzstan,18+  years,Female,26.4 [25.7-27],26.4,25.7,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belarus,18+  years,Both sexes,26.4 [24.5-28.4],26.4,24.5,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Panama,18+  years,Male,26.4 [25.1-27.7],26.4,25.1,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Republic of Moldova,18+  years,Both sexes,26.5 [26-27],26.5,26,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Iceland,18+  years,Male,26.6 [25.3-27.9],26.6,25.3,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Italy,18+  years,Male,26.6 [26.2-27.1],26.6,26.2,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Estonia,18+  years,Male,26.7 [25.7-27.7],26.7,25.7,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Portugal,18+  years,Male,26.7 [25.7-27.8],26.7,25.7,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Dominican Republic,18+  years,Both sexes,26.7 [25.6-27.7],26.7,25.6,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Spain,18+  years,Both sexes,26.7 [26.1-27.4],26.7,26.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Antigua and Barbuda,18+  years,Male,26.8 [24.5-29.2],26.8,24.5,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Ireland,18+  years,Female,26.8 [26.2-27.3],26.8,26.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Czech Republic,18+  years,Both sexes,26.8 [26.3-27.3],26.8,26.3,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Malta,18+  years,Female,26.8 [24.5-29.1],26.8,24.5,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Dominican Republic,18+  years,Female,26.9 [25.7-28.2],26.9,25.7,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,United Kingdom of Great Britain and Northern Ireland,18+  years,Female,26.9 [26.6-27.1],26.9,26.6,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Uruguay,18+  years,Female,26.9 [25.5-28.2],26.9,25.5,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Costa Rica,18+  years,Both sexes,26.9 [26.3-27.5],26.9,26.3,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Czech Republic,18+  years,Both sexes,26.9 [26.2-27.6],26.9,26.2,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Poland,18+  years,Male,27 [26.1-28],27,26.1,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Cyprus,18+  years,Both sexes,27 [25.9-28],27,25.9,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Andorra,18+  years,Female,27.1 [24.2-30],27.1,24.2,30,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Argentina,18+  years,Female,27.1 [26.2-28.1],27.1,26.2,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Armenia,18+  years,Female,27.1 [26.1-28.2],27.1,26.1,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Kazakhstan,18+  years,Female,27.1 [25.7-28.5],27.1,25.7,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkey,18+  years,Male,27.1 [26.5-27.8],27.1,26.5,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Republic of Moldova,18+  years,Female,27.1 [26.2-27.9],27.1,26.2,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Panama,18+  years,Both sexes,27.1 [26.1-28],27.1,26.1,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Trinidad and Tobago,18+  years,Male,27.2 [25.9-28.4],27.2,25.9,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Syrian Arab Republic,18+  years,Male,27.2 [26-28.5],27.2,26,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Greece,18+  years,Female,27.2 [25.7-28.7],27.2,25.7,28.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Venezuela (Bolivarian Republic of),18+  years,Both sexes,27.2 [26.5-28],27.2,26.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Australia,18+  years,Male,27.3 [26.9-27.7],27.3,26.9,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Egypt,18+  years,Male,27.3 [26.8-27.7],27.3,26.8,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Lebanon,18+  years,Both sexes,27.3 [26.8-27.8],27.3,26.8,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,United Kingdom of Great Britain and Northern Ireland,18+  years,Both sexes,27.3 [27-27.6],27.3,27,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Barbados,18+  years,Male,27.4 [25.7-29],27.4,25.7,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kazakhstan,18+  years,Both sexes,27.4 [26.2-28.7],27.4,26.2,28.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Suriname,18+  years,Both sexes,27.4 [25.5-29.2],27.4,25.5,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Chile,18+  years,Both sexes,27.5 [27-27.9],27.5,27,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Belize,18+  years,Male,27.5 [26.2-28.8],27.5,26.2,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,United Kingdom of Great Britain and Northern Ireland,18+  years,Male,27.5 [27-27.9],27.5,27,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Argentina,18+  years,Female,27.5 [26.3-28.8],27.5,26.3,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Tunisia,18+  years,Female,27.5 [26.2-28.9],27.5,26.2,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,El Salvador,18+  years,Female,27.6 [26.8-28.3],27.6,26.8,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,New Zealand,18+  years,Both sexes,27.6 [27.3-27.9],27.6,27.3,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Luxembourg,18+  years,Male,27.6 [26.6-28.6],27.6,26.6,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Argentina,18+  years,Male,27.8 [26.5-29.1],27.8,26.5,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Chile,18+  years,Female,28 [27-28.9],28,27,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,El Salvador,18+  years,Female,28 [26.9-29],28,26.9,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Azerbaijan,18+  years,Female,28.1 [26.8-29.5],28.1,26.8,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Jordan,18+  years,Male,28.2 [27.3-29.1],28.2,27.3,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Bahrain,18+  years,Both sexes,28.2 [27.2-29.2],28.2,27.2,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Iraq,18+  years,Female,28.4 [27.4-29.4],28.4,27.4,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Swaziland,18+  years,Female,28.4 [27.4-29.5],28.4,27.4,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Antigua and Barbuda,18+  years,Both sexes,28.4 [26.3-30.4],28.4,26.3,30.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Libya,18+  years,Both sexes,28.4 [27.7-29.1],28.4,27.7,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Tuvalu,18+  years,Male,28.5 [26.2-30.8],28.5,26.2,30.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Kiribati,18+  years,Male,28.6 [27.6-29.5],28.6,27.6,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Syrian Arab Republic,18+  years,Female,28.6 [27.5-29.8],28.6,27.5,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Kiribati,18+  years,Male,28.7 [27.5-29.8],28.7,27.5,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Tuvalu,18+  years,Male,28.7 [26.3-31.1],28.7,26.3,31.1,
