Country Name,Country Code,Under Five Mortality (Probability),Physician Density,EconomicFreedom,YearsSchooling_BothSexes,YearsSchooling_Female,YearsSchooling_Male,MeanBMI_BothSexes,MeanBMI_Female,MeanBMI_Male,Insuff_Activity_BothSexes,Insuff_Activity_Female,Insuff_Activity_Male,NationalIncome,AlcoholConsumption_Litres,LifeExpectancy_Birth_BothSexes,LifeExpectancy_Birth_Female,LifeExpectancy_Birth_Male,LifeExpectancy_Birth_BothSexes,LifeExpectancy_Birth_Female,LifeExpectancy_Birth_Male,GDP,HouseholdConsumption,WomenInParliament,Urbanization_Percent,Happiness_Avg,ChoiceFreedom,Population,HaveProgram_BadDiet,HaveProgram_PhysicalInactivity,HaveProgram_Alochol,HaveProgram_CVD,HaveProgram_Diabetes,HaveProgram_Tobacco,McDonalds
Norway,15100,2.7,4.281,7.51,12.74642,12.79505,12.7016,26,25.2,26.9,25.8,28.8,22.9,66520,6.21,81.6,83.6,79.6,24.1,25.5,22.5,97429.7084759454,38733.8532618881,39.6,80.208,7.444470882,0.956316173,5137232,1,1,1,1,0,1,74
Pakistan,15300,83.3,0.827,6.01,5.08946,3.66649,6.4656,23.8,24.4,23.3,26,31.7,20.2,4920,0.04,66.2,67.2,65.2,17.8,18.0,17.6,1315.26762194284,903.395553374923,20.7,38.303,5.435657978,0.543138504,185044286,0,0,0,0,0,0,26
Paraguay,15700,21.2,1.227,6.88,8.1351,8.12159,8.15177,25.8,26,25.6,24.6,27,22.1,7640,5.03,73.9,75.9,72.0,21.1,22.3,20.0,4712.87020536405,2510.98706931624,15,59.416,5.118641853,0.759396434,6552518,1,1,1,1,1,1,15
Poland,16000,5.2,2.219,7.42,11.90293,11.85313,11.99742,26.4,25.7,27,18.7,23.8,13.6,22300,11.63,77.3,81.2,73.4,21.7,23.9,19.0,14337.2063674308,8287.27837520977,24.3,60.568,5.750282288,0.875357091,38011735,1,1,1,1,1,1,301
Portugal,16100,3.7,4.1,7.49,8.88247,8.91081,8.87376,26.2,25.7,26.7,34.9,38.5,31.4,25360,10,80.9,83.7,77.9,24.0,25.8,21.8,22124.3670925451,13867.4158644022,31.3,62.908,5.12691164,0.846810102,10401062,1,1,1,1,1,1,138
Qatar,16200,8.2,7.739,7.91,9.76463,10.9234,9.49602,29.2,30.1,29,41.6,49.7,33.4,123860,1.2,78.1,79.9,77.3,21.2,22.1,20.7,96732.5290262219,12733.7870257442,0,99.159,6.611298561,0.924333632,2172065,1,1,1,1,1,1,27
Romania,16500,11.5,2.448,7.66,10.6398,10.28713,11.03735,25.3,24.9,25.7,25.3,31.8,18.9,18060,9.59,74.8,78.6,71.2,20.0,22.0,17.8,10011.7859226299,5708.81259014557,13.5,54.393,5.726893425,0.754235506,19908979,1,0,0,1,1,1,65
Saudi Arabia,17400,15.0,2.491,6.95,9.62752,8.97941,10.02415,28.5,28.7,28.3,61,68.7,53.2,53780,0.09,74.4,75.9,73.1,18.6,19.8,17.6,24406.4678217219,6869.64070169281,19.9,82.926,6.27837801,0.762251675,30886545,1,1,0,1,1,1,136
Singapore,17900,2.8,1.95,8.71,11.57241,11.12417,12.06042,23.7,23.2,24.3,33.1,35.3,30.9,76850,1.83,82.9,85.9,79.8,25.3,27.8,22.7,56007.288209027,17523.2969877717,25.3,100,7.062364578,0.834887624,5469724,1,1,0,0,1,1,125
Spain,18500,4.2,4.949,7.38,9.79079,9.60884,9.98412,26.7,26,27.4,30.5,33.7,27.2,31850,9.25,82.6,85.3,79.8,25.1,27.2,22.8,29718.5002155441,16289.3433553523,39.7,79.355,6.456477642,0.738472342,46480882,1,1,1,1,1,1,439
Sweden,19000,3.0,3.926,7.46,12.2737,12.37877,12.17078,25.8,24.9,26.7,28.7,33,24.4,44760,7.3,82.3,84.1,80.6,24.6,25.9,23.2,58899.9797944845,25006.2700318466,44.7,85.665,7.239147663,0.945273399,9696110,1,1,1,1,1,1,227
Thailand,19400,12.6,0.393,6.56,7.91195,7.6659,8.17532,24.1,24.6,23.6,14.8,16.7,12.9,13510,6.5,74.6,77.8,71.7,21.0,22.8,19.1,5969.94011583791,2880.72971617592,6.1,49.174,6.985463619,0.899846315,67725979,1,1,1,1,1,1,180
Turkey,20100,14.3,1.711,6.86,7.88786,7.00236,8.7946,27.8,28.5,27.1,32.8,37.5,28.1,18760,1.41,75.5,78.6,72.3,21.0,22.9,18.9,10303.8988002501,7727.6454742061,14.4,72.891,5.579794407,0.649196088,77523788,1,1,0,0,1,1,206
UK,20600,4.4,2.809,7.93,13.28412,13.23593,13.40435,27.3,27.1,27.5,37.3,42.4,32.3,35760,10.32,81.0,82.9,79.2,23.9,25.2,22.6,46278.5202128829,25591.5911391664,22.6,82.345,6.758147717,0.85703969,64613160,1,1,1,1,1,1,1208
USA,20800,6.7,2.452,7.75,13.5991,13.65387,13.52062,28.8,28.8,28.8,32.4,39.3,25.4,53960,8.82,79.1,81.5,76.8,23.5,24.9,22.0,54398.4600093994,34666.7265040989,19.3,81.447,7.151114464,0.866076887,318907401,1,1,1,1,1,1,14157
